[2025-04-15 11:10:49] User: luka, Action: KEY, Details: Verified existing signed public key for luka
[2025-04-15 11:10:49] User: luka, Action: SIGN, Details: Signed file users/luka/211.png.shared.enc for luka
[2025-04-15 11:10:49] User: luka, Action: SHARE, Details: Shared file: 211.png with milica
[2025-04-15 11:11:17] User: milica, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 11:11:36] User: milica, Action: DOWNLOAD, Details: Downloaded file: 211.png_luka_to_milica.enc
[2025-04-15 11:12:40] User: masa3, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 11:12:48] User: masa3, Action: DELETE, Details: Deleted: Figure_1.png_lola5_to_masa3.enc
[2025-04-15 11:13:36] User: lola5, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 11:13:44] User: lola5, Action: KEY, Details: Verified existing signed public key for lola5
[2025-04-15 11:13:44] User: lola5, Action: SIGN, Details: Signed file users/lola5/Figure_1.png.shared.enc for lola5
[2025-04-15 11:13:44] User: lola5, Action: SHARE, Details: Shared file: Figure_1.png with masa3
[2025-04-15 11:14:14] User: masa3, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 11:14:55] User: luka, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 11:15:40] User: luka, Action: SIGN, Details: Signed file /Users/milanaivankovic/Desktop/Screenshot 2025-04-11 at 23.10.58.png for luka
[2025-04-15 11:15:40] User: luka, Action: UPLOAD, Details: Uploaded file: Screenshot 2025-04-11 at 23.10.58.png
[2025-04-15 11:15:50] User: luka, Action: KEY, Details: Verified existing signed public key for luka
[2025-04-15 11:15:51] User: luka, Action: SIGN, Details: Signed file users/luka/Screenshot 2025-04-11 at 23.10.58.png.shared.enc for luka
[2025-04-15 11:15:51] User: luka, Action: SHARE, Details: Shared file: Screenshot 2025-04-11 at 23.10.58.png with milica
[2025-04-15 11:16:23] User: milica, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 11:16:40] User: milica, Action: DOWNLOAD, Details: Downloaded file: Screenshot 2025-04-11 at 23.10.58.png_luka_to_milica.enc
[2025-04-15 11:18:42] User: miha, Action: KEY, Details: Generated and signed public key for miha
[2025-04-15 11:18:49] User: miha, Action: KEY, Details: Verified existing signed public key for miha
[2025-04-15 11:19:32] User: kris, Action: KEY, Details: Generated and signed public key for kris
[2025-04-15 11:20:05] User: kris, Action: SIGN, Details: Signed file /Users/milanaivankovic/Documents/java_pismeni2/pj2_28062024/batter_vehicle.txt for kris
[2025-04-15 11:20:05] User: kris, Action: UPLOAD, Details: Uploaded file: batter_vehicle.txt
[2025-04-15 11:20:14] User: kris, Action: KEY, Details: Verified existing signed public key for kris
[2025-04-15 11:20:14] User: kris, Action: SIGN, Details: Signed file users/kris/batter_vehicle.txt.shared.enc for kris
[2025-04-15 11:20:14] User: kris, Action: SHARE, Details: Shared file: batter_vehicle.txt with miha
[2025-04-15 11:20:41] User: miha, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 11:22:33] User: miha, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 11:22:53] User: miha, Action: SIGN, Details: Signed file /Users/milanaivankovic/Downloads/kriptografija/kriptoPredavanja/01_Uvod.pdf for miha
[2025-04-15 11:22:53] User: miha, Action: UPLOAD, Details: Uploaded file: 01_Uvod.pdf
[2025-04-15 11:23:04] User: miha, Action: KEY, Details: Verified existing signed public key for miha
[2025-04-15 11:23:05] User: miha, Action: SIGN, Details: Signed file users/miha/01_Uvod.pdf.shared.enc for miha
[2025-04-15 11:23:05] User: miha, Action: SHARE, Details: Shared file: 01_Uvod.pdf with kris
[2025-04-15 11:24:00] User: kris, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 11:24:32] User: kris, Action: DELETE, Details: Deleted: 01_Uvod.pdf_miha_to_kris.enc
[2025-04-15 11:24:44] User: kris, Action: DELETE, Details: Deleted: batter_vehicle.txt_kris_to_miha.enc
